# Pick&Place Position Data File
#
# Project Name:        kbdkid4
# Project Version:     v1
# Board Name:          Board 1.1
# Generation Software: LibrePCB 2.1.1
# Generation Date:     2026-09-06T22:54:10
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
S133,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,16.351,90.0,Top,SMT
S140,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,71.12,90.0,Top,SMT
S141,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,52.07,90.0,Top,SMT
S142,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,33.02,90.0,Top,SMT
S143,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,13.97,90.0,Top,SMT
S150,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,68.739,90.0,Top,SMT
S151,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,49.689,90.0,Top,SMT
S152,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,30.639,90.0,Top,SMT
S153,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,11.589,90.0,Top,SMT
S163,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,123.349,9.207,90.0,Top,SMT
U2,nice!nano v2.0,nice!nano v2.0,NICE_NICENANO,124.849,59.487,0.0,Top,THT
